iter	Passed	Remaining
405	6786	26646
406	6803	26628
407	6818	26605
408	6833	26580
409	6849	26563
410	6862	26533
411	6879	26515
412	6896	26500
413	6912	26482
414	6929	26463
415	6944	26443
416	6959	26420
417	6975	26398
418	6991	26379
419	7006	26356
420	7020	26332
421	7035	26309
422	7047	26274
423	7063	26254
424	7077	26229
425	7091	26202
426	7106	26178
427	7120	26153
428	7136	26135
429	7168	26174
430	7187	26164
431	7203	26145
432	7219	26127
433	7236	26109
434	7251	26086
435	7266	26065
436	7281	26043
437	7296	26021
438	7311	25997
439	7324	25969
440	7340	25949
441	7355	25927
442	7369	25901
443	7385	25883
444	7401	25863
445	7416	25840
446	7431	25817
447	7445	25795
448	7467	25793
449	7482	25773
450	7499	25756
451	7515	25737
452	7531	25721
453	7562	25752
454	7577	25728
455	7591	25706
456	7606	25681
457	7620	25658
458	7635	25635
459	7651	25614
460	7665	25590
461	7679	25566
462	7694	25544
463	7709	25522
464	7726	25505
465	7745	25497
466	7760	25475
467	7792	25510
468	7809	25493
469	7839	25520
470	7856	25502
471	7871	25481
472	7886	25460
473	7901	25438
474	7917	25419
475	7932	25398
476	7949	25380
477	7963	25357
478	7978	25335
479	7994	25316
480	8009	25295
481	8025	25275
482	8039	25251
483	8054	25228
484	8072	25215
485	8088	25197
486	8104	25178
487	8121	25164
488	8149	25180
489	8165	25161
490	8179	25138
491	8194	25117
492	8212	25102
493	8227	25082
494	8242	25059
495	8256	25037
496	8281	25044
497	8295	25020
498	8309	24995
499	8324	24973
500	8338	24950
501	8353	24928
502	8370	24910
503	8387	24894
504	8402	24873
505	8417	24853
506	8433	24834
507	8449	24815
508	8465	24796
509	8480	24777
510	8495	24755
511	8510	24733
512	8525	24712
513	8540	24690
514	8556	24672
515	8571	24651
516	8586	24630
517	8605	24621
518	8621	24601
519	8636	24580
520	8651	24560
521	8682	24584
522	8697	24562
523	8712	24541
524	8735	24542
525	8749	24517
526	8765	24499
527	8780	24479
528	8798	24466
529	8814	24446
530	8828	24424
531	8843	24402
532	8860	24386
533	8889	24404
534	8904	24384
535	8933	24399
536	8948	24379
537	8963	24358
538	8994	24380
539	9010	24362
540	9027	24346
541	9043	24327
542	9059	24308
543	9076	24293
544	9091	24271
545	9106	24249
546	9121	24230
547	9136	24208
548	9151	24187
549	9183	24211
550	9198	24190
551	9213	24169
552	9240	24179
553	9255	24157
554	9270	24135
555	9285	24116
556	9302	24098
557	9317	24078
558	9333	24060
559	9349	24040
560	9364	24020
561	9382	24006
562	9397	23986
563	9413	23967
564	9429	23948
565	9446	23932
566	9462	23914
567	9478	23897
568	9494	23877
569	9510	23860
570	9527	23844
571	9544	23828
572	9560	23809
573	9575	23788
574	9591	23769
575	9607	23751
576	9623	23734
577	9639	23716
578	9657	23701
579	9670	23675
580	9686	23657
581	9701	23637
582	9717	23618
583	9732	23597
584	9748	23579
585	9763	23558
586	9778	23538
587	9802	23538
588	9817	23519
589	9832	23498
590	9848	23479
591	9863	23459
592	9879	23439
593	9894	23419
594	9908	23396
595	9922	23374
596	9937	23354
597	9953	23334
598	9968	23314
599	9983	23295
600	9998	23275
601	10027	23286
602	10052	23289
603	10074	23285
604	10093	23272
605	10112	23261
606	10127	23242
607	10141	23219
608	10156	23197
609	10170	23174
610	10181	23144
611	10194	23121
612	10209	23100
613	10239	23114
614	10260	23106
615	10281	23099
616	10299	23085
617	10318	23075
618	10335	23057
619	10351	23041
620	10368	23025
621	10383	23004
622	10412	23015
623	10429	22997
624	10444	22978
625	10459	22957
626	10473	22934
627	10488	22913
628	10503	22893
629	10518	22873
630	10534	22855
631	10549	22834
632	10564	22814
633	10579	22793
634	10593	22772
635	10612	22759
636	10627	22740
637	10643	22721
638	10661	22706
639	10687	22710
640	10702	22690
641	10714	22664
642	10737	22660
643	10752	22640
644	10768	22621
645	10783	22601
646	10799	22583
647	10817	22569
648	10832	22550
649	10848	22531
650	10864	22512
651	10879	22493
652	10896	22476
653	10910	22455
654	10926	22437
655	10941	22416
656	10956	22397
657	10971	22376
658	10986	22356
659	11000	22335
660	11015	22314
661	11031	22296
662	11047	22277
663	11063	22259
664	11081	22246
665	11112	22258
666	11129	22242
667	11143	22221
668	11158	22200
669	11172	22177
670	11188	22159
671	11200	22133
672	11222	22127
673	11237	22108
674	11252	22088
675	11266	22067
676	11282	22047
677	11298	22031
678	11314	22011
679	11328	21990
680	11343	21970
681	11357	21948
682	11371	21927
683	11393	21920
684	11407	21899
685	11422	21878
686	11437	21859
687	11452	21839
688	11471	21826
689	11486	21807
690	11504	21793
691	11520	21774
692	11535	21755
693	11549	21735
694	11564	21714
695	11578	21693
696	11592	21672
697	11607	21651
698	11622	21632
699	11637	21612
700	11652	21593
701	11666	21572
702	11681	21551
703	11696	21532
