iter	Logloss
0	0.6884845303
1	0.6845694511
2	0.6801377607
3	0.6758756187
4	0.6720607274
5	0.6686606886
6	0.6650436643
7	0.6613863571
8	0.6578218257
9	0.6541565487
10	0.6504632845
11	0.647147154
12	0.6439532482
13	0.640529117
14	0.6377860704
15	0.6344392941
16	0.6311403271
17	0.6282827859
18	0.6255594797
19	0.6226885578
20	0.6203370761
21	0.6176465987
22	0.6149475567
23	0.6122049016
24	0.6098887191
25	0.6079322866
26	0.605411731
27	0.6033367432
28	0.6014051773
29	0.5990487681
30	0.5969290637
31	0.5950180357
32	0.5928147631
33	0.5908268579
34	0.5888274602
35	0.5865118609
36	0.5842327543
37	0.5824893276
38	0.5802911232
39	0.5783019414
40	0.5765632545
41	0.5749802701
42	0.5732257944
43	0.571777028
44	0.5702662498
45	0.5686321378
46	0.5669578877
47	0.5654095496
48	0.5640782146
49	0.5626988658
50	0.5612024177
51	0.5597044754
52	0.5583385638
53	0.5568488301
54	0.5557866112
55	0.5545792228
56	0.5533049177
57	0.5517148606
58	0.5502041404
59	0.5488787916
60	0.5476947806
61	0.5464938649
62	0.5451151017
63	0.5438820607
64	0.5424362294
65	0.5413014332
66	0.5400323737
67	0.5386806071
68	0.5376921232
69	0.5364033979
70	0.5353130259
71	0.5342994515
72	0.5332102551
73	0.5322330662
74	0.5311951172
75	0.5303493913
76	0.5291115893
77	0.5282509884
78	0.5273663605
79	0.5262850586
80	0.5254540625
81	0.5244682111
82	0.5236836513
83	0.5226506866
84	0.5218693077
85	0.5209888598
86	0.5201827269
87	0.5191985077
88	0.5180903993
89	0.5172412634
90	0.5162658394
91	0.515638047
92	0.5148726767
93	0.513883617
94	0.5130502311
95	0.5120111856
96	0.5113737511
97	0.5105033473
98	0.5097859373
99	0.5088116916
100	0.5081017112
101	0.507496175
102	0.5066278211
103	0.5059290158
104	0.5052157768
105	0.5044568529
106	0.5036197023
107	0.5030286217
108	0.50224491
109	0.5014646062
110	0.5010057021
111	0.500459277
112	0.4997904394
113	0.4992992985
114	0.4986781263
115	0.4979531086
116	0.4971426313
117	0.4967164782
118	0.4960315938
119	0.49540362
120	0.4947811482
121	0.4942490266
122	0.4938007065
123	0.4932746619
124	0.492710379
125	0.4922702589
126	0.4916677208
127	0.4912148856
128	0.4907643497
129	0.4900037505
130	0.489364112
131	0.4887931298
132	0.4882957091
133	0.4878113013
134	0.4871251358
135	0.4864821422
136	0.4860591482
137	0.4855561774
138	0.4851217176
139	0.484733953
140	0.4843626566
141	0.4838424322
142	0.4832339923
143	0.4827442761
144	0.4822984549
145	0.4817886296
146	0.4812114851
147	0.4807244048
148	0.4803776102
149	0.4798949635
150	0.4794903471
151	0.4790440209
152	0.4786426091
153	0.4780328693
154	0.4774338426
155	0.4769227135
156	0.4764100341
157	0.4760159045
158	0.4755486731
159	0.475199719
160	0.4745976202
161	0.4742259715
162	0.473867786
163	0.4735484222
164	0.473151554
165	0.4728001811
166	0.4723730979
167	0.4719774917
168	0.4714787486
169	0.4710927221
170	0.4704772318
171	0.4701612532
172	0.4698182569
173	0.4695045424
174	0.4690701542
175	0.4687070978
176	0.4682770037
177	0.4679306744
178	0.4676364162
179	0.4672859403
180	0.466957769
181	0.4665962692
182	0.4661942115
183	0.465842646
184	0.4656368562
185	0.4651432466
186	0.4647063919
187	0.4644196988
188	0.4641457797
